TYPE,NAME,ADDRESS
regfile,apb_rif,0x0
reg,data1,0x0
reg,data2,0x4
reg,data3,0x8
reg,write_enable,0xc
reg,data_status_1,0x10
reg,data_status_2,0x14
reg,data_status_3,0x18
memory,memory_adress_start,0x100
reg,r1_0,0x100
reg,r1_1,0x180
reg,r1_2,0x200
reg,r1_3,0x280
reg,r1_4,0x300
reg,r1_5,0x380
reg,r1_6,0x400
reg,r1_7,0x480
reg,r1_8,0x500
reg,r1_9,0x580
reg,r1_10,0x600
reg,r1_11,0x680
reg,r1_12,0x700
reg,r1_13,0x780
reg,r1_14,0x800
reg,r1_15,0x880
reg,r1_16,0x900
reg,r1_17,0x980
reg,r1_18,0xa00
reg,r1_19,0xa80
reg,r1_20,0xb00
reg,r1_21,0xb80
reg,r1_22,0xc00
reg,r1_23,0xc80
reg,r1_24,0xd00
reg,r1_25,0xd80
reg,r1_26,0xe00
reg,r1_27,0xe80
reg,r1_28,0xf00
reg,r1_29,0xf80
reg,r1_30,0x1000
reg,r1_31,0x1080
reg,r1_32,0x1100
reg,r1_33,0x1180
reg,r1_34,0x1200
reg,r1_35,0x1280
reg,r1_36,0x1300
reg,r1_37,0x1380
reg,r1_38,0x1400
reg,r1_39,0x1480
reg,r1_40,0x1500
reg,r1_41,0x1580
reg,r1_42,0x1600
reg,r1_43,0x1680
reg,r1_44,0x1700
reg,r1_45,0x1780
reg,r1_46,0x1800
reg,r1_47,0x1880
reg,r1_48,0x1900
reg,r1_49,0x1980
reg,r1_50,0x1a00
reg,r1_51,0x1a80
reg,r1_52,0x1b00
reg,r1_53,0x1b80
reg,r1_54,0x1c00
reg,r1_55,0x1c80
reg,r1_56,0x1d00
reg,r1_57,0x1d80
reg,r1_58,0x1e00
reg,r1_59,0x1e80
reg,r1_60,0x1f00
reg,r1_61,0x1f80
reg,r1_62,0x2000
reg,r1_63,0x2080
reg,r1_64,0x2100
reg,r1_65,0x2180
reg,r1_66,0x2200
reg,r1_67,0x2280
reg,r1_68,0x2300
reg,r1_69,0x2380
reg,r1_70,0x2400
reg,r1_71,0x2480
reg,r1_72,0x2500
reg,r1_73,0x2580
reg,r1_74,0x2600
reg,r1_75,0x2680
reg,r1_76,0x2700
reg,r1_77,0x2780
reg,r1_78,0x2800
reg,r1_79,0x2880
reg,r1_80,0x2900
reg,r1_81,0x2980
reg,r1_82,0x2a00
reg,r1_83,0x2a80
reg,r1_84,0x2b00
reg,r1_85,0x2b80
reg,r1_86,0x2c00
reg,r1_87,0x2c80
reg,r1_88,0x2d00
reg,r1_89,0x2d80
reg,r1_90,0x2e00
reg,r1_91,0x2e80
reg,r1_92,0x2f00
reg,r1_93,0x2f80
reg,r1_94,0x3000
reg,r1_95,0x3080
reg,r1_96,0x3100
reg,r1_97,0x3180
reg,r1_98,0x3200
reg,r1_99,0x3280
reg,r1_100,0x3300
reg,r1_101,0x3380
reg,r1_102,0x3400
reg,r1_103,0x3480
reg,r1_104,0x3500
reg,r1_105,0x3580
reg,r1_106,0x3600
reg,r1_107,0x3680
reg,r1_108,0x3700
reg,r1_109,0x3780
reg,r1_110,0x3800
reg,r1_111,0x3880
reg,r1_112,0x3900
reg,r1_113,0x3980
reg,r1_114,0x3a00
reg,r1_115,0x3a80
reg,r1_116,0x3b00
reg,r1_117,0x3b80
reg,r1_118,0x3c00
reg,r1_119,0x3c80
reg,r1_120,0x3d00
reg,r1_121,0x3d80
reg,r1_122,0x3e00
reg,r1_123,0x3e80
reg,r1_124,0x3f00
reg,r1_125,0x3f80
reg,r1_126,0x4000
reg,r1_127,0x4080
reg,r1_128,0x4100
reg,r1_129,0x4180
