TYPE,NAME,ADDRESS
regfile,apb_rif,0x0
reg,data1,0x0
reg,data2,0x4
reg,data3,0x8
reg,write_enable,0xc
reg,data_status_1,0x10
reg,data_status_2,0x14
reg,data_status_3,0x18
memory,memory_adress_start,0x100
reg,r1_0,0x100
reg,r1_1,0x104
reg,r1_2,0x108
reg,r1_3,0x10c
reg,r1_4,0x110
reg,r1_5,0x114
reg,r1_6,0x118
reg,r1_7,0x11c
reg,r1_8,0x120
reg,r1_9,0x124
reg,r1_10,0x128
reg,r1_11,0x12c
reg,r1_12,0x130
reg,r1_13,0x134
reg,r1_14,0x138
reg,r1_15,0x13c
reg,r1_16,0x140
reg,r1_17,0x144
reg,r1_18,0x148
reg,r1_19,0x14c
reg,r1_20,0x150
reg,r1_21,0x154
reg,r1_22,0x158
reg,r1_23,0x15c
reg,r1_24,0x160
reg,r1_25,0x164
reg,r1_26,0x168
reg,r1_27,0x16c
reg,r1_28,0x170
reg,r1_29,0x174
reg,r1_30,0x178
reg,r1_31,0x17c
reg,r1_32,0x180
reg,r1_33,0x184
reg,r1_34,0x188
reg,r1_35,0x18c
reg,r1_36,0x190
reg,r1_37,0x194
reg,r1_38,0x198
reg,r1_39,0x19c
reg,r1_40,0x1a0
reg,r1_41,0x1a4
reg,r1_42,0x1a8
reg,r1_43,0x1ac
reg,r1_44,0x1b0
reg,r1_45,0x1b4
reg,r1_46,0x1b8
reg,r1_47,0x1bc
reg,r1_48,0x1c0
reg,r1_49,0x1c4
reg,r1_50,0x1c8
reg,r1_51,0x1cc
reg,r1_52,0x1d0
reg,r1_53,0x1d4
reg,r1_54,0x1d8
reg,r1_55,0x1dc
reg,r1_56,0x1e0
reg,r1_57,0x1e4
reg,r1_58,0x1e8
reg,r1_59,0x1ec
reg,r1_60,0x1f0
reg,r1_61,0x1f4
reg,r1_62,0x1f8
reg,r1_63,0x1fc
reg,r1_64,0x200
reg,r1_65,0x204
reg,r1_66,0x208
reg,r1_67,0x20c
reg,r1_68,0x210
reg,r1_69,0x214
reg,r1_70,0x218
reg,r1_71,0x21c
reg,r1_72,0x220
reg,r1_73,0x224
reg,r1_74,0x228
reg,r1_75,0x22c
reg,r1_76,0x230
reg,r1_77,0x234
reg,r1_78,0x238
reg,r1_79,0x23c
reg,r1_80,0x240
reg,r1_81,0x244
reg,r1_82,0x248
reg,r1_83,0x24c
reg,r1_84,0x250
reg,r1_85,0x254
reg,r1_86,0x258
reg,r1_87,0x25c
reg,r1_88,0x260
reg,r1_89,0x264
reg,r1_90,0x268
reg,r1_91,0x26c
reg,r1_92,0x270
reg,r1_93,0x274
reg,r1_94,0x278
reg,r1_95,0x27c
reg,r1_96,0x280
reg,r1_97,0x284
reg,r1_98,0x288
reg,r1_99,0x28c
reg,r1_100,0x290
reg,r1_101,0x294
reg,r1_102,0x298
reg,r1_103,0x29c
reg,r1_104,0x2a0
reg,r1_105,0x2a4
reg,r1_106,0x2a8
reg,r1_107,0x2ac
reg,r1_108,0x2b0
reg,r1_109,0x2b4
reg,r1_110,0x2b8
reg,r1_111,0x2bc
reg,r1_112,0x2c0
reg,r1_113,0x2c4
reg,r1_114,0x2c8
reg,r1_115,0x2cc
reg,r1_116,0x2d0
reg,r1_117,0x2d4
reg,r1_118,0x2d8
reg,r1_119,0x2dc
reg,r1_120,0x2e0
reg,r1_121,0x2e4
reg,r1_122,0x2e8
reg,r1_123,0x2ec
reg,r1_124,0x2f0
reg,r1_125,0x2f4
reg,r1_126,0x2f8
reg,r1_127,0x2fc
reg,r1_128,0x300
reg,r1_129,0x304
reg,r1_130,0x308
reg,r1_131,0x30c
